t_center,rms_emg1,rms_emg2,rms_emg3,rms_emg4,rms_emg5,rms_emg6,rms_emg7,rms_emg8,mean_z_emg1,mean_z_emg2,mean_z_emg3,mean_z_emg4,mean_z_emg5,mean_z_emg6,mean_z_emg7,mean_z_emg8,channel_count,frac_active,global_active
0.1625,0.6655163497245721,0.7219549046247288,0.43559245095865645,1.1442291732406635,0.45238560252607724,0.7070353118995233,0.4277555348755858,0.7530795165694565,-0.736195017121216,-0.6230656575151005,-0.8673502160072719,-0.0713747693312964,-1.0340322431162121,-0.8661180285001986,-0.9317023745045674,-0.4763319146874,0,0.0,0
0.2625,0.6728022373600209,0.8626397928103055,0.664758931985344,1.1902905917041706,0.6704292517834252,1.2338047377893169,1.1405332133687227,0.9105410642055105,-0.7435553676829594,-0.40548238341628406,-0.5733118346104176,-0.017716495997258785,-0.8362396931340819,-0.45561335381974344,-0.35583141539418506,-0.18940573873573033,0,0.0,0
0.36250000000000004,1.0337325551841903,0.9042424065520647,1.1916105379764217,0.8989445595094288,0.7183459430839967,1.1751356623345262,1.158436241913892,0.9219405970770242,-0.2755697418186833,-0.34952965848859696,-0.02837303708985796,-0.3762749260899005,-0.8013339850414987,-0.5216563858047201,-0.28959514692688504,-0.13379029513703902,0,0.0,0
0.4625,1.1401738058213184,1.0843349166390568,1.107705302085465,0.8066052004741463,0.9110765586865295,0.9041762113758575,0.5097447987069871,0.8193254802539109,-0.06647388698804527,-0.10686518937580373,-0.2396651791052695,-0.6091739714511326,-0.627848825027366,-0.7034942519048445,-0.8390904226365474,-0.3058285924303778,0,0.0,0
0.5625,1.0315582474576444,1.1486296350453038,0.7283452970119166,0.7545880399080075,0.8991492718486297,0.8807379358433564,1.077900305375401,0.48774560602332917,-0.2503139841459259,-0.012501020349968582,-0.5772223643459281,-0.705560521233568,-0.6398769981770314,-0.7159730954704024,-0.3234580439800968,-0.791080847315198,0,0.0,0
0.6625,1.0182816429005013,1.0099656830321035,1.0329485179480689,0.964056051777145,0.8266510502464439,0.951476369666496,1.194690059030874,0.8921544957810668,-0.341602126554465,-0.12135270061517382,-0.17376122368103036,-0.19480232028028105,-0.7523867435120773,-0.6810421229622975,-0.1719387140203041,-0.296286884487958,0,0.0,0
0.7625,0.9955993010322182,0.6609069294201155,1.2050753882940366,0.9760656321663856,1.240930657621817,1.1332813233607693,0.8900833240315847,0.9199155308570864,-0.3150950235215941,-0.6844254019324842,0.0725089571253979,-0.09831124274847099,-0.22959969814341488,-0.5049755969034212,-0.5784556075111054,-0.21945802562814745,0,0.0,0
0.8625,0.8439601981479596,0.711509914373122,1.2804588905482772,1.2959679376359776,1.2935771626255343,1.1468822786739188,1.1685861279474148,0.36996312031288897,-0.5385239554104061,-0.7858572168782331,0.14636020488949789,0.3081893423901467,-0.15508476778615574,-0.4112765483550752,-0.22755439499748614,-1.0017397230001963,0,0.0,0
0.9625,3.759532897918956,2.815605157630983,2.317729754026699,2.1871635559080222,2.806993086056884,3.265450109136924,4.682948864118255,3.303231622557554,2.2699774211253274,1.5563395504239999,1.1282093092016405,1.414287318386291,0.9397383793305292,0.8269248895963399,2.596686617031141,1.648280469162137,3,0.375,0
1.0625,4.089794168245943,3.076478362415273,2.4626664668792726,2.3705604738680486,3.4981910427680067,5.563082392608085,5.500685638381681,3.6120003053608714,3.504850524033698,2.507518389336785,1.4482904323771837,1.900988972576007,2.199567006419437,3.140561185896849,4.152473689522709,2.8971812428752037,6,0.75,1
1.1625,1.9324987969914247,1.6466022252722583,1.750480301627509,1.8507620532063724,2.656538740691171,5.0103394366613685,3.4381800376678022,1.7202559535859168,0.9323505992719971,0.8195430158088568,0.6801065774231441,1.3094746935748436,1.4875615593279001,2.8344507510207326,2.0628999063445415,0.8176727684949525,1,0.125,0
1.2625000000000002,1.4555635744571291,1.5356153108489354,1.7893550358857526,1.6568495149142857,1.7474752840600316,2.4888876325844356,2.5118500214818624,1.5012898810426571,0.3601068946927497,0.7000669974045242,0.7355609092961249,0.7596029870099515,0.37188694947279094,0.9015561069755137,1.3384856083284264,0.6640501881252147,0,0.0,0
1.3624999999999998,1.7064441807573836,1.462367004635109,1.3189057667240813,1.3358468851924634,1.3038586795666913,2.2093306388025225,2.2433408213580726,1.5683239517909886,0.5191471611590628,0.5445525319290723,-0.08916578442934492,0.25098466059313823,-0.12059247543472627,0.5898725378165782,1.0779804820922627,0.7251817297114661,0,0.0,0
1.4625,1.3760125404500103,0.860535105423943,1.0036014775887525,0.8414343501385271,0.8819989903876108,1.803325272306477,1.152242009977662,1.1091429875390226,-0.20722221042052605,-0.3399999735117384,-0.34836421124620925,-0.27120559196911365,-0.658847918034355,0.0710664280883281,-0.3308803930068001,-0.06418554598938178,0,0.0,0
1.5625,0.9669622825460387,0.8356372561703455,1.1394639579552461,0.6692937175395517,0.6505796396531361,0.9292594200832076,0.5024926908399551,1.13082191128766,-0.4227454598053425,-0.3788109951817909,-0.029563501057788634,-0.617725514163978,-0.9310655072027568,-0.5789547976170598,-0.862745272498123,-0.019493372239956144,0,0.0,0
1.6625,1.1773259665603177,0.8696159438210636,1.0081800173640183,0.5728759748940244,0.7370981772321136,1.1534065843241823,0.7697335860576116,1.4950121070229967,-0.0380974489565268,-0.3616150529379608,-0.2152315008443151,-0.8274938922006382,-0.7344357391171166,-0.42029816681992765,-0.5772884675316758,0.6437483421144272,0,0.0,0
1.7625000000000002,1.4102376408223858,1.3787953233699475,1.5273617499028698,0.7147907660282317,0.8273651458582023,1.9497259305319785,1.1698063643965413,1.4694338389458415,0.2279933068270923,0.14478558128270907,0.302003644581895,-0.5938595047666257,-0.6875659579951423,0.16297343948824408,-0.15428766993033718,0.5950663322238495,0,0.0,0
1.8624999999999998,1.7731663883484425,1.7895364979892099,1.8808862485237712,1.3491165196620916,1.107677252066201,1.761211574389589,1.1862109936804976,1.587522722880605,0.7133596933680376,0.7879185046828932,0.7687753245156891,0.3032581673511972,-0.41442446514773473,-0.13493500931146205,-0.16429292545571575,0.6318769146144853,0,0.0,0
1.9625,1.7465230847916449,1.9409094580212374,1.6409651148289495,1.6534498286629702,1.518948110323283,0.960703651020887,1.9414780053932508,1.8970105946373474,0.6494791684838473,1.1104051782055062,0.43921320904467903,0.7577484600032679,0.09352859822511092,-0.6133283010232686,0.4460339567323311,0.998408210778581,0,0.0,0
2.0625,1.5861856951157027,2.3852276627170275,2.940346604039304,2.3552415554767663,2.403358781753574,2.2777916760457786,2.160661159284949,1.6158641955837452,0.4752899287989319,1.8372732039315016,1.8115491551392569,1.7441065554200563,1.017833603239362,0.41843983227846254,0.9018385676931008,0.5463582397666245,1,0.125,0
2.1625,2.2109581884495495,2.8004300553161974,3.4586381154404284,2.730665872067004,3.74901787955219,3.68062091904371,1.6748850715944186,1.87912870177624,0.9316183328178609,2.3503109317019817,2.939298609467969,2.70059770185051,2.6330000499156916,1.7721053208824877,0.49473727782260046,0.746985982075093,3,0.375,0
2.2625,3.736475983644892,3.05339425836576,3.2981357961261684,2.832837551456636,4.70247819356574,6.444797680780993,3.437497027532441,3.4478864620997327,3.2981875643028586,2.728029900627381,2.5242434065352968,2.7225657553707068,3.5512981443101848,3.8190449041215264,1.842953685746089,3.141602783289619,7,0.875,1
2.3625,3.49983118954214,3.204346165617484,3.2039502223476104,2.5016507194851036,3.774063921166252,6.282996671483988,3.4325358083218904,3.5776248607700345,2.972168923328506,3.1052220850352965,2.5082712568654575,2.020335712095593,2.102033493611326,3.6500444166469377,1.825723428219215,3.310181980590347,7,0.875,1
