pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,0.9570000000000001,1.4969999999999999,0.5399999999999998,1.377,3.6290867113827354,0.41999999999999993,0.06000000000000005,0.7426799391895841
1,2.157,2.3970000000000002,0.2400000000000002,2.2169999999999996,3.8833291072437475,0.05999999999999961,0.0600000000000005,0.6226954132940234
2,4.617,4.797000000000001,0.1800000000000006,4.677,1.716656422431838,0.05999999999999961,,0.218381217860057
3,5.6370000000000005,5.817,0.17999999999999972,5.697,2.1473544107321163,0.05999999999999961,0.0600000000000005,0.2379593100974866
4,6.117,6.297000000000001,0.1800000000000006,6.177,1.9257789089338686,0.05999999999999961,0.0600000000000005,0.22971886284253212
5,11.577,11.757,0.17999999999999972,11.637,2.4251716041618456,0.0600000000000005,0.0600000000000005,0.2846410164706771
6,13.857,14.697,0.8399999999999999,14.457,2.647712898536157,0.6000000000000014,0.17999999999999972,1.177042136541584
7,16.137,16.377,0.23999999999999844,16.257,3.7798815899344516,0.120000000000001,0.05999999999999872,0.5702537432670987
8,16.737000000000002,16.917,0.17999999999999972,16.737000000000002,2.573776382579985,,0.120000000000001,0.292430492166597
9,17.097,18.597,1.5,17.757,6.100168365415439,0.6600000000000001,0.17999999999999972,3.2951258860914403
