start_time,end_time,center_time,RMS_log1p,TKEO_log1p,WL_log1p,cluster_active_raw,cluster_active_smoothed
62.0,402.0,232.0,0.38617182720383125,0.003388991316875446,0.8019228923036605,0,0
242.0,582.0,412.0,0.5036774411023982,0.0026660492504001518,0.6914995957195265,0,0
422.0,762.0,592.0,0.5503211020346046,0.004024634263058381,0.6073483676972766,0,0
602.0,942.0,772.0,0.6092444299279557,0.002717307008529455,0.34160510285358975,0,0
782.0,1122.0,952.0,0.6269152627503939,0.0024311610994253536,0.40827767924870745,0,0
962.0,1302.0,1132.0,1.0890305469923902,0.030177760208745394,1.3101730766629356,1,1
1142.0,1482.0,1312.0,1.3915392907701543,0.03759107401583095,1.2186080156548293,1,1
1322.0,1662.0,1492.0,1.338600595801705,0.020505686020482406,1.00039328591881,1,1
1502.0,1842.0,1672.0,1.143706155561527,0.00966429924248509,0.9905946314863742,1,1
1682.0,2022.0,1852.0,1.0881177076065334,0.007848627125808147,0.7852027021903383,1,1
1862.0,2202.0,2032.0,1.2512319662262126,0.02884180001717311,1.240729910162412,1,1
2042.0,2382.0,2212.0,1.4032236558182671,0.04323599197632995,1.0583231824215074,1,1
2222.0,2562.0,2392.0,1.2009583654980827,0.034613979363358416,1.3068102685121867,1,1
2402.0,2742.0,2572.0,0.8066214341453604,0.009388830521195515,1.1459316134298618,1,1
2582.0,2922.0,2752.0,0.8515757017489626,0.009473079797923133,0.7131070461754616,0,0
2762.0,3102.0,2932.0,0.7448567775285949,0.006891086368193961,0.6156329131761076,0,0
2942.0,3282.0,3112.0,0.569420925260453,0.0018002430452736433,0.3671180456096987,0,0
3122.0,3462.0,3292.0,0.46790814058399977,0.0025714723758100398,0.5141158380389964,0,0
3302.0,3642.0,3472.0,0.3278239481969788,0.0014668158795880333,0.6202984893125416,0,0
3482.0,3822.0,3652.0,0.4146627268267975,0.0017923943847813527,0.5279065833200816,0,0
3662.0,4002.0,3832.0,0.5060883377970308,0.0024334743660789668,0.486081058241099,0,0
3842.0,4182.0,4012.0,0.4349028957456977,0.001058307460883279,0.4094633662591664,0,0
4022.0,4362.0,4192.0,0.4934693700711739,0.0038164576689001593,0.7420395375552993,0,0
4202.0,4542.0,4372.0,0.8519968273177206,0.010129961585793967,0.9048045887754671,1,0
4382.0,4722.0,4552.0,1.031963118066589,0.012084698533196422,0.7133043314571462,1,0
4562.0,4902.0,4732.0,0.9379871101504798,0.009783190388398557,0.834009099006656,1,0
4742.0,5082.0,4912.0,0.6692604593960457,0.004545515630401584,0.7486950931625878,0,0
4922.0,5262.0,5092.0,0.6862364534484084,0.004246860121953347,0.7535151056848992,0,0
5102.0,5442.0,5272.0,0.8346045619357504,0.0034698242453789227,0.4677956928159927,0,0
5282.0,5622.0,5452.0,0.824289005473193,0.0038275307312436112,0.4884676149287799,0,0
5462.0,5802.0,5632.0,0.7143220276923623,0.005506766648169224,0.6526024598097155,0,0
5642.0,5982.0,5812.0,0.6529731354540039,0.0038516646957646758,0.4492887761815257,0,0
5822.0,6162.0,5992.0,0.6629510316213474,0.0035534955805087863,0.47907705582667365,0,0
6002.0,6342.0,6172.0,0.6225770389616272,0.0029236052129943063,0.5235227513279866,0,0
6182.0,6522.0,6352.0,0.4899353239771026,0.0013002368841574694,0.4425995098562179,0,0
6362.0,6702.0,6532.0,0.6051895174602202,0.002062075917670471,0.8258528867086932,0,0
6542.0,6882.0,6712.0,0.8764835304619338,0.007650892154115799,0.8437411026559788,1,0
6722.0,7062.0,6892.0,0.9282334640514364,0.00992351384150758,0.8480527079330679,1,0
6902.0,7242.0,7072.0,0.7255192348044114,0.008323042484907147,0.9476137536014496,1,0
7082.0,7422.0,7252.0,0.5549369637251428,0.004317856775945041,0.6146685015504435,0,0
7262.0,7602.0,7432.0,0.6210277691629902,0.0029322877467735362,0.36688526705531954,0,0
7442.0,7782.0,7612.0,0.6238020505282057,0.0016855722355680002,0.2430395753843013,0,0
7622.0,7962.0,7792.0,0.5962268740829798,0.00390691231828485,0.6112358753837289,0,0
7802.0,8142.0,7972.0,0.6495659690488658,0.0034316041728452147,0.6615849296510375,0,0
7982.0,8322.0,8152.0,0.6767480691482968,0.004364106339137194,0.694267260797397,0,0
8162.0,8502.0,8332.0,0.5389459459991128,0.004424724277289724,0.5970868656619186,0,0
8342.0,8682.0,8512.0,0.3673655705683203,0.0008913250172650906,0.1949355904096458,0,0
8522.0,8862.0,8692.0,0.3906684502848816,0.0015332232523890986,0.37036914212045813,0,0
8702.0,9042.0,8872.0,0.46197463278457895,0.0017752877009248578,0.40157359638891926,0,0
8882.0,9222.0,9052.0,0.493236440631098,0.0026063447614293293,0.4207548283913504,0,0
9062.0,9402.0,9232.0,0.5502098445258276,0.005974412873853317,0.6937969754375873,0,0
9242.0,9582.0,9412.0,0.6333052197633452,0.004833412061454506,0.6471994258716991,0,0
9422.0,9762.0,9592.0,0.6331415360427266,0.0022659759713866464,0.5118766847144044,0,0
9602.0,9942.0,9772.0,0.7933164118864909,0.006420908129381687,0.8771517669912224,1,0
9782.0,10122.0,9952.0,1.0047022767043623,0.007751783372506595,0.7534254065174807,1,0
9962.0,10302.0,10132.0,1.0057640160902008,0.008170849173144631,0.7842438578667458,1,0
10142.0,10482.0,10312.0,0.8179849183987928,0.005626703224179972,0.7531375268746735,0,1
10322.0,10662.0,10492.0,0.66830961933894,0.0012692906566792485,0.3114537701290796,0,1
10502.0,10842.0,10672.0,0.7422445688544889,0.004332335159006523,0.6870309705802663,0,1
