Time,Fused_z,Active_binary
62.0,-0.33868664248578156,0
72.0,-0.3362123042773435,0
82.0,-0.3357948172471561,0
92.0,-0.33326374272041853,0
102.0,-0.3308165947205084,0
112.0,-0.3280082745065818,0
122.0,-0.32067889635186003,0
132.0,-0.2996678648388699,0
142.0,-0.254055593663462,0
152.0,-0.18114391970803043,0
162.0,-0.06942442499386413,0
172.0,0.06374443711863209,0
182.0,0.1942888218435661,0
192.0,0.32462724687049593,0
202.0,0.429373889253733,0
212.0,0.5035587557721537,0
222.0,0.548545732352891,0
232.0,0.570273635895935,0
242.0,0.5775024967387032,0
252.0,0.5792833694016388,0
262.0,0.5825437563064135,0
272.0,0.590568612300394,0
282.0,0.6029920027098568,0
292.0,0.6172088590065445,0
302.0,0.6304185292429728,0
312.0,0.6413269040621306,0
322.0,0.6508459350081339,0
332.0,0.6616077328307977,0
342.0,0.6765936030651956,0
352.0,0.6976227870835225,0
362.0,0.7245930637318465,0
372.0,0.7558973439231025,0
382.0,0.7895675128463886,0
392.0,0.8241548506855034,0
402.0,0.8586108012815301,0
412.0,0.8912414653005982,0
422.0,0.9185500509829877,0
432.0,0.9349272787294027,0
442.0,0.9336293891928851,0
452.0,0.9087400716615608,0
462.0,0.8573735523276123,0
472.0,0.781376191906515,0
482.0,0.6879887437372387,0
492.0,0.5890921235651523,0
502.0,0.4990846097713254,0
512.0,0.4320810085276747,0
522.0,0.38837583867682257,0
532.0,0.37428493945673147,0
542.0,0.3803233546149609,0
552.0,0.3977085611779618,0
562.0,0.42003092542207354,0
572.0,0.4715960740442745,0
582.0,0.5324242272383506,0
592.0,0.5927728005293598,0
602.0,0.6499497785200319,0
612.0,0.7001468501514091,0
622.0,0.739234164120173,0
632.0,0.7639397093416287,0
642.0,0.7727509616710965,0
652.0,0.7764221616856612,0
662.0,0.7830514473719693,0
672.0,0.7792166758718623,0
682.0,0.7679592287291838,0
692.0,0.7520660042820919,0
702.0,0.7339334137836326,0
712.0,0.7155707817958159,0
722.0,0.716678510171568,0
732.0,0.7359121347588002,0
742.0,0.7665558264652508,0
752.0,0.8038239143016418,0
762.0,0.8366745461810392,0
772.0,0.863238328701537,0
782.0,0.8823790297806138,0
792.0,0.8939881478583332,0
802.0,0.8991705680122253,0
812.0,0.9001110980420634,0
822.0,0.8994096642337959,0
832.0,0.8989347983637967,0
842.0,0.8987171340500859,0
852.0,0.8966486323398415,0
862.0,0.8893435552097863,0
872.0,0.8737523359324333,0
882.0,0.8550926290732832,0
892.0,0.8446726340498256,0
902.0,0.8309898306929799,0
912.0,0.8174019893659927,0
922.0,0.8068857119721335,0
932.0,0.8084332262591012,0
942.0,0.8184188191394838,0
952.0,0.8289644124715749,0
962.0,0.8354767002663173,0
972.0,0.8342229019105252,0
982.0,0.8237571723812958,0
992.0,0.8056947954483644,0
1002.0,0.7843908858280716,0
1012.0,0.7653936065757261,0
1022.0,0.768950210638804,0
1032.0,0.7853787035912879,0
1042.0,0.8050849346431155,0
1052.0,0.8220627084064313,0
1062.0,0.8318706192798637,0
1072.0,0.8410738059506577,0
1082.0,0.8527143946416678,0
1092.0,0.8554361316993968,0
1102.0,0.8484129209935147,0
1112.0,0.8369710160459699,0
1122.0,0.8266203968488165,0
1132.0,0.822573898288502,0
1142.0,0.8298544057218467,0
1152.0,0.8816723091719977,0
1162.0,0.9623604658859433,0
1172.0,1.0680237993505757,0
1182.0,1.1979704282578396,0
1192.0,1.3946956239500976,0
1202.0,1.6298154573572012,0
1212.0,1.8810694650389361,0
1222.0,2.1328450973176425,1
1232.0,2.3699627451287175,1
1242.0,2.5797183384955606,1
1252.0,2.7534680350935066,1
1262.0,2.8875750881618796,1
1272.0,2.9834897848166593,1
1282.0,3.051133005747371,1
1292.0,3.095223188923552,1
1302.0,3.11975800438257,1
1312.0,3.13173439241075,1
1322.0,3.1366710853218454,1
1332.0,3.147598069298261,1
1342.0,3.154859856325599,1
1352.0,3.157812623119998,1
1362.0,3.159651252044813,1
1372.0,3.162297854807724,1
1382.0,3.1662214155755555,1
1392.0,3.17475276682497,1
1402.0,3.1837625778121454,1
1412.0,3.188356211593494,1
1422.0,3.1867159773117075,1
1432.0,3.177346618898585,1
1442.0,3.158689889314878,1
1452.0,3.1287444574491112,1
1462.0,3.084853819754627,1
1472.0,3.025233072309808,1
1482.0,2.9441866794186864,1
1492.0,2.8362781294991204,1
1502.0,2.7042599883886447,1
1512.0,2.546149823006113,1
1522.0,2.364346936520337,1
1532.0,2.1648439943005497,1
1542.0,1.9575380220684715,1
1552.0,1.7560947475173114,1
1562.0,1.6028926764472078,1
1572.0,1.4898854564407866,1
1582.0,1.4021218762170813,1
1592.0,1.339980354265367,1
1602.0,1.3025325762415745,1
1612.0,1.2888775783751125,1
1622.0,1.2971801233870388,1
1632.0,1.3235693627898921,1
1642.0,1.362472914623806,1
1652.0,1.4080197698410637,1
1662.0,1.4554564549295668,1
1672.0,1.5018733712629295,1
1682.0,1.546141309214597,1
1692.0,1.5883927636822535,1
1702.0,1.6331855598897407,1
1712.0,1.6818711815319154,1
1722.0,1.731629232356469,1
1732.0,1.7824122039306953,1
1742.0,1.8338016321280377,1
1752.0,1.8847466566199311,1
1762.0,1.9334533296537337,1
1772.0,1.9775685809107113,1
1782.0,2.0146642213312127,1
1792.0,2.0533963243160693,1
1802.0,2.081256427296959,1
1812.0,2.09525240778594,1
1822.0,2.0952020608759465,1
1832.0,2.0820435161210513,1
1842.0,2.0572447120935595,1
1852.0,2.022191846504726,1
1862.0,1.9777808144650773,1
1872.0,1.9243475794246983,1
1882.0,1.861965709696261,1
1892.0,1.7910217554025971,1
1902.0,1.7128424940306237,1
1912.0,1.630032101094839,1
1922.0,1.5552358084702842,1
1932.0,1.5300010270262177,1
1942.0,1.5210682648747436,1
