pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.4625,1.6625,0.20000000000000018,1.4625,0.5,,,0.08750000000000008
1,1.9625,2.2625,0.30000000000000027,1.9625,0.75,,,0.18750000000000017
2,5.3625,5.6625,0.2999999999999998,5.4625,0.875,0.10000000000000053,,0.17500000000000004
3,5.9625,6.1625,0.1999999999999993,5.9625,0.5,,,0.06874999999999976
4,8.0625,8.3625,0.3000000000000007,8.0625,0.75,,0.10000000000000142,0.1625000000000001
5,9.3625,9.962499999999999,0.5999999999999979,9.662500000000001,1.0,0.3000000000000007,,0.34999999999999853
