t_center,rms_emg1,rms_emg2,rms_emg3,rms_emg4,rms_emg5,rms_emg6,rms_emg7,rms_emg8,mean_z_emg1,mean_z_emg2,mean_z_emg3,mean_z_emg4,mean_z_emg5,mean_z_emg6,mean_z_emg7,mean_z_emg8,channel_count,frac_active,global_active
0.157,0.47104279938177324,0.8664193317588307,1.4593556753054349,4.3946905940712355,11.65311015840243,8.220952220323706,1.8990267629939883,0.8007920411609939,-1.8361628235709577,-1.544072984481819,-2.202953625804341,-2.0390328199096066,-0.48951415584591407,0.3944254301911013,-1.551611284760741,-1.6750505013142558,0,0.0,0
0.257,0.9181653068829088,1.2203426378387554,2.648394627548874,7.024693669977593,16.280114974951893,10.808215912401199,2.6193374646505028,1.2376139862537336,-1.4010700775641047,-1.2733098379195025,-1.0675163460027843,-0.5808272194429048,0.9345388616684527,1.8456748122560263,0.04570391533116443,-1.055530173303482,1,0.125,0
0.357,0.9833109935806964,1.2693908766110493,2.650712746525311,7.101436443924375,14.653996160469084,8.483134018329753,2.1624630408996093,1.2069391298893755,-1.3198144642315293,-1.2637070750961361,-1.123741275857291,-0.5747765336836299,0.5164415134666278,0.6970875229099047,-0.9228768894381186,-1.1511217822639384,0,0.0,0
0.457,0.9642873587500148,1.0809651753622895,1.5115255381980104,4.767214170999065,11.92148527075123,5.292090089396834,1.4769651169503606,1.1189853843413404,-1.3746837657125268,-1.401574499857357,-2.1037604796801506,-1.7182183594289981,-0.057901981216727,-0.4276503330608478,-1.9194852481823552,-1.2785850106156889,0,0.0,0
0.557,1.2527706765741573,0.94093401225667,1.0330228768476843,3.0956917585664265,9.441168246226404,4.503382837094861,1.3406750578522384,1.3087722884547683,-1.065540317078408,-1.4764725192554145,-2.375181652021503,-2.3478100606424848,-0.7540314629831878,-0.7822050983354325,-2.1285554958962165,-0.9992275053381583,0,0.0,0
0.657,1.3306971340896272,1.6323021729550788,4.225849637992023,7.124047326551898,7.734656518970172,3.994502925669422,1.1101422430371766,1.1640124493545332,-0.969235085030441,-1.1112298756130143,-0.4251447901288022,-0.9146888136298428,-1.1057740221562724,-0.9899651460282131,-2.500001536331321,-1.1687786748602917,0,0.0,0
0.757,1.8229952718610065,3.03732431017536,5.540431337070537,9.657797197403742,9.558123669368639,5.332437950175437,1.8579456561652694,1.7652166963459395,-0.5156309414337737,-0.05222552735312963,1.1302608907706397,0.5936423933558965,-0.625686027557082,-0.42334197538369833,-1.436449743584451,-0.6014173742822077,0,0.0,0
0.857,2.922991201886107,3.7162237535435,4.63413951008887,8.590453117400543,10.096258183144826,6.215097714101712,2.5838167085357706,2.5598310490929017,0.612376956301343,0.5852369264126203,0.40906850357430846,0.13196924738334195,-0.4655111835883291,0.012093230177168034,-0.02129096342142244,0.5425825713720549,0,0.0,0
0.9570000000000001,4.089713260592674,4.4472248180203335,5.678179152345976,8.334255958460112,12.574551251934793,6.249922392790366,3.396854920438181,3.071281444744934,1.8272701495516888,1.0695209807275865,1.2359256704316377,0.030843412956833977,0.0410957701655553,0.024566337099054578,1.1872315447667867,1.185790849787985,1,0.125,0
1.057,3.847391016816427,4.298347430766669,5.582280430181746,9.802234954536717,15.951933089937846,6.679324512758815,3.4696050839131223,3.266395913740968,1.5423788030479844,0.9401730196844322,1.1881678505956104,0.727133109151769,0.839313881391041,0.19005492242692928,1.3183743878893701,1.4374655414268207,1,0.125,0
1.157,2.7319068771960895,4.050049085921502,4.77437209291619,9.878978050650167,15.573242521715667,7.1691411367014695,2.688450773392686,3.033807004411808,0.48241774761422257,0.7871128061955579,0.6405542984993071,0.7608512431806052,0.7241609274581587,0.3764322549445155,0.13324403104360918,1.1462918462879785,1,0.125,0
1.2570000000000001,2.9112659815644575,4.631612212045631,5.2493470069278665,8.161802801928674,13.17179614843905,9.40420091081548,3.431889320069258,3.5351016894426075,0.4933365945991106,1.179054517798277,1.0499959315590424,-0.08408878554081499,0.1300080871697155,1.0942407692071343,0.9766941866066288,1.583183474666385,1,0.125,0
