t_center,rms_emg1,rms_emg2,rms_emg3,rms_emg4,rms_emg5,rms_emg6,rms_emg7,rms_emg8,mean_z_emg1,mean_z_emg2,mean_z_emg3,mean_z_emg4,mean_z_emg5,mean_z_emg6,mean_z_emg7,mean_z_emg8,channel_count,frac_active,global_active
0.142,0.8447166819618734,0.6106090611210064,0.46787253664607176,0.87003283796099,0.6468572317920865,0.5803241135048705,1.1112637655577426,1.1831525436407637,-0.5895842203251866,-0.7914636753253894,-1.0878698679558385,-0.3336847105422778,-0.3418213656461294,-0.9545517300199625,-0.41079670802459256,0.13005441659701486,0,0.0,0
0.242,1.338684645006603,0.4856555107658897,0.6625203207541809,0.6939573192371516,0.7153198278653676,0.8684830398950489,1.1977051912424301,1.387787254144049,0.313791628428309,-1.140719965413937,-0.7341817446107051,-0.6721803027652317,-0.13595419521192015,-0.4315469822072197,-0.2245682896766558,0.832123203073334,0,0.0,0
0.34199999999999997,1.2919214159066288,0.49631045003399354,0.9623579411467557,0.7962381787756684,0.5278125507857524,0.867754990414595,1.2829707425266574,1.250935797668047,0.20076201197698906,-1.0924321670468704,-0.08649604256197854,-0.4589980176506561,-0.560058967050365,-0.4469523817825074,-0.10566886199764362,0.35961061218432044,0,0.0,0
0.442,1.0301330515060798,0.550287535914423,0.8698666710388242,0.917166763810264,0.3068811802380622,0.5497247196232781,1.1397026108400028,1.1015528541427784,-0.200227221910153,-0.915921082220961,-0.3551576797267192,-0.13146359366058277,-0.92862949866713,-0.997708267304715,-0.32216217407538694,-0.08741581160099421,0,0.0,0
0.542,0.9746084075122602,0.4826629842690215,0.5033189741899778,0.702473877963526,0.33743902140783755,0.6212020918399692,0.7519721914313634,0.8287967486952487,-0.34515790488090536,-1.0924901881655928,-1.0387907748674026,-0.7270792103852252,-0.875965153879744,-0.896334850360482,-0.8845315758502211,-1.3062560884226033,0,0.0,0
0.642,0.6630851694484394,0.3868028501561613,0.5160835925861742,0.43954741405080333,0.3488880731904951,0.7360121862939326,0.5025567901392548,0.46522737886051807,-0.8893950199627356,-1.3673596413128326,-1.0040287076636045,-1.297329052426273,-0.8682376525382504,-0.6547378522357734,-1.1645813556932145,-2.153839502056127,0,0.0,0
0.742,0.4909153838941834,0.643881600998844,0.8733530278084043,0.6490593568031683,0.5150709867741963,0.802265363032509,0.7426760277716252,0.5924799213539864,-1.1376802431690187,-0.9479463755132004,-0.3422201601868148,-0.8506624576325967,-0.5942263325282642,-0.5419052827589073,-0.8753521892036019,-1.6651026098058233,0,0.0,0
0.8420000000000001,0.46506208301646074,1.0779020335435128,1.101423267451407,0.8165766117885236,0.5940735321635655,0.7893298505433886,1.1948771396712374,0.8858237170706945,-1.1789695585528999,0.3098122773293156,0.20122482264311797,-0.3534160521704848,-0.3714750595834283,-0.5728708550043632,-0.271077596738991,-0.8521314244742098,0,0.0,0
0.942,0.4416913768210415,1.129241899911209,0.8765134623696109,0.7026429203033918,0.5297574400718377,0.5081907715630727,1.264567580151074,1.0354723908474992,-1.229352980470092,0.5731463505011356,-0.3533357444292232,-0.658604321390855,-0.4889546899571779,-1.096596205084869,-0.14806647301822518,-0.2822078977053318,0,0.0,0
1.042,0.49641646916516746,0.9246310481570531,0.5971359439178225,0.4701438280880561,0.4767501714506163,0.6223728546867462,1.1416660219630659,0.8146072344092504,-1.1724139006775105,0.0534928878477116,-0.8231419443645993,-1.2173397879036305,-0.6015284716465961,-0.9933333276184874,-0.3000699393567242,-1.0228384255026857,0,0.0,0
1.142,0.6276700048660081,0.8114996636201329,0.5611040499002998,0.5233643458250111,0.39150297244627047,0.9001401845802859,0.9900610960295233,0.6255929603188853,-0.9387660959931001,-0.2336372830687726,-0.9077110045714237,-1.1142498679263388,-0.7639135248192903,-0.42684884097415965,-0.6075769862110805,-1.5568155144114173,0,0.0,0
1.242,0.595863318639192,0.732863388675924,0.45852924656824234,0.7549862823652715,0.5719527750405397,0.8088969412855272,0.6656998918764773,0.7716879087068854,-0.9733805895942391,-0.43189583030424883,-1.1081610701543922,-0.526229733743337,-0.47210698430062814,-0.5574573005744041,-1.0682166957937214,-1.1468232880914169,0,0.0,0
1.342,0.5725471755393827,0.6392663796508931,0.41994269921386623,1.0645625810621342,0.8185917199322778,0.5415092673174756,1.53588101456095,1.1335489606899514,-0.994245634161943,-0.6894353134588206,-1.1999227486824786,0.18816907604976454,0.042948117398090464,-0.9760829565839492,-0.09222789463197378,-0.02295281803449616,0,0.0,0
1.442,0.5763328190469694,0.4994619783603303,0.6769391405957944,1.0099290359917823,0.6761933944575352,0.7848659591125776,1.8722297661950875,1.1804379202005535,-0.9868255087211031,-1.0575101094267276,-0.7608433896313314,-0.001902792045371754,-0.36405496191358905,-0.6384372654571238,0.6343148640481431,0.1535613280794658,0,0.0,0
1.542,1.0552647018927068,0.5106159840039489,0.8678958505059792,0.5998717320239755,0.41202298886607924,1.2195110579320436,1.4594841643178114,0.9826074413857788,-0.3674107104330896,-1.0467275852351934,-0.2556618687096329,-0.9118151721916238,-0.7729569203430808,0.16887056832958133,0.060815669279550066,-0.4872157284229869,0,0.0,0
1.642,1.7975927959580837,1.038215318620358,1.45391733811922,1.2897201557823905,0.9962742154642803,1.7757203950926495,2.0751717381084642,1.1047365394552544,1.0696927583465607,0.13599458513234208,0.7313011634259056,0.23344898853491758,0.1905499234353424,1.1037668798140299,0.7530855006618967,-0.08866345463585343,0,0.0,0
1.742,1.8917882729711941,1.3938854520349266,2.0500426524141844,2.4073698221669733,2.2837055167658993,2.184713692716196,2.5112271009055696,1.1513863210261375,1.3374413019710107,1.2833050422292667,2.157397770883204,3.131769567983324,2.5367410011884832,1.8683287165754652,1.5233921509677288,0.12342036499054723,3,0.375,0
1.842,1.5662655971131458,1.3002426499844508,1.9012340758876751,2.4167402738246047,2.7007211554552497,1.8559428724666531,1.9581311596532898,1.0715992238469603,0.778773865582307,1.0128224062113398,1.8398642707383346,3.167358906595075,3.587275548356353,1.180835954271329,0.6711342053019417,-0.12247354861836471,3,0.375,0
1.942,2.1466761607681857,1.9019554162498342,1.8774175445637094,1.5347597068405845,2.3574827055111087,1.9459787861593825,1.0634075621355992,1.1185361541958274,1.661175253112447,2.308489474693587,1.790694955831341,1.1149235071311168,2.987077382676848,1.2650526519307301,-0.6286390525975003,0.02335996536123546,4,0.5,1
2.042,2.1450229176210773,1.9366099757544633,1.8737054513965028,1.5341074286348109,2.1628521424836564,2.2249985327547694,0.7989444218727114,1.0640762410287445,1.6099940627820164,2.4337278300280745,1.7942147510871176,1.2493441296680925,2.6599317095053663,1.8742272876193375,-0.89672361530237,-0.17184281772238208,4,0.5,1
2.1420000000000003,1.318424254564155,1.1026526445638378,1.5082259935830824,1.7744746253888861,2.1041738653064463,1.6563839501774649,2.7026506299278164,0.9249864644500401,0.2684222277250118,0.45917697009519715,1.0940751036988543,1.934821663629633,2.56186645533707,0.8528581467744594,1.2388522485902214,-0.6077330717429812,1,0.125,0
2.242,1.46963287611423,1.0483211975169298,1.4478183999789707,1.6639075977507503,1.932597914907319,1.432114507024983,3.765306218309334,1.0593262109959647,0.5364350584361495,0.36070120860783267,0.962765050483681,1.6628507446898346,2.2068020673507514,0.5009125756096496,3.1707423465572973,-0.3806365572302472,2,0.25,0
2.3419999999999996,1.5648234931938327,0.9873940825004723,1.1968024219006037,1.2887774075487872,1.5298021221799627,1.7650206608428671,3.363153338772374,2.1339991994911234,0.7113786164802871,0.12256742262262618,0.37206772516768416,0.6633865520792198,1.4417422185678626,1.0885287710010902,2.599245324653278,2.5954887348607714,2,0.25,0
2.442,1.30100553499604,1.216373997320006,1.2267289087506492,1.1868776933865224,1.7111075448062325,2.0610393066357933,2.6922734349697435,2.2508758915882128,0.27176910617585515,0.5715709981755823,0.38152713580036574,0.4315958286574369,1.725943191527889,1.582850127840471,1.6512909888064715,3.337001919112146,1,0.125,0
2.542,1.3416039168687495,1.6585789408127913,1.9232430238564746,1.8084894150018453,2.5855364443596773,3.9032300930327284,4.619144918266253,2.3836795973141918,0.3746404902159524,1.9244172221502314,1.8000014187194089,1.8806684456260456,3.358198489901703,4.316301622662033,3.8235711250034945,3.6667516266581055,5,0.625,1
2.6420000000000003,1.8342372873767703,1.6818403535412523,1.8099297199926518,1.836887877019956,2.485082835611698,5.978971145787075,5.796986198091126,3.6987828500537736,1.1107498006809116,2.040410654007954,1.4891485583563377,1.990952863675903,3.105124934935456,8.325787331727723,5.947330443843781,8.01913976241269,6,0.75,1
