start_time,end_time,center_time,RMS_log1p,TKEO_log1p,WL_log1p,cluster_active_raw,cluster_active_smoothed
63.0,403.0,233.0,0.20092215674140065,0.0002679961046034759,0.21663698578458662,0,0
243.0,583.0,413.0,0.2555342319613707,0.00038279223034496274,0.18406684345058008,0,0
423.0,763.0,593.0,0.2632019954158823,0.00025199584992648865,0.14128538304352647,0,0
603.0,943.0,773.0,0.3623050336401009,0.001183539132636205,0.375594051033885,0,0
783.0,1123.0,953.0,0.5133752947693256,0.0014058539167089534,0.44202114747292676,0,0
963.0,1303.0,1133.0,0.5581187899660736,0.0011482959475907772,0.30950061371656795,0,0
1143.0,1483.0,1313.0,0.47869431226385595,0.0011473873031437852,0.41309117120683075,0,0
1323.0,1663.0,1493.0,0.3466815335535585,0.000820178656710875,0.35830847057046883,0,0
1503.0,1843.0,1673.0,0.26848684862858924,0.00036958309674708315,0.1535734185409913,0,0
1683.0,2023.0,1853.0,0.2625194450126159,0.000155490869721662,0.1093383920037779,0,0
1863.0,2203.0,2033.0,0.564055614716937,0.0051815135965650756,0.7217531162459704,1,1
2043.0,2383.0,2213.0,0.8048309248518424,0.0059938895659709755,0.7184663016805918,1,1
2223.0,2563.0,2393.0,0.8015684166127961,0.0045420483262851,0.5935461772134377,1,1
2403.0,2743.0,2573.0,0.7072969629522131,0.0065253769137188335,0.8711974250052144,1,1
2583.0,2923.0,2753.0,0.8130111247439707,0.004512682569356763,0.5618996647605732,1,1
2763.0,3103.0,2933.0,0.8069085847145749,0.005493385764028867,0.7401781551622139,1,1
2943.0,3283.0,3113.0,0.5456121508214625,0.004614982591989365,0.8288795356737808,1,1
3123.0,3463.0,3293.0,0.20493252300584427,0.0001857174537614049,0.24778304827537384,0,1
3303.0,3643.0,3473.0,0.25550727907897075,0.0002425899297200517,0.12365405281913941,0,1
3483.0,3823.0,3653.0,0.26780964215651976,0.0002192228798542727,0.10872705127825646,0,1
