t_center,z_mean_emg1,z_mean_emg2,z_mean_emg3,z_mean_emg4,z_mean_emg5,z_mean_emg6,z_mean_emg7,z_mean_emg8,avg,consensus
0.11699999999999999,-3.627797280425906,-2.4814140200482275,-2.4589250614314495,-2.5101457770187454,-2.6201309459280093,-2.8903585932994496,-2.7739060263997657,-2.456828357779754,0.0,0
0.177,-3.627905043554468,-2.351168588706536,-2.236928901695054,-1.339974747096153,-2.014841131887289,-2.6585395108868375,-2.76495360607192,-2.441805968347994,0.0,0
0.237,-3.6912975030326822,-2.0970474189094594,-1.7832918675768472,-0.3513413762660327,-1.3520599264809645,-2.2557055591972612,-2.7044173694456437,-2.3275798892975597,0.0,0
0.297,-3.564829562555246,-1.9930195373017827,-1.3524763456487605,-0.27531856503694385,-1.0147069703934577,-2.153990607871529,-2.6619118048007766,-2.252302099065655,0.0,0
0.357,-3.117308124244943,-2.185906757716718,-1.1485588946885696,0.182829963879827,-0.5266080287296231,-2.1990208710536323,-2.6659866871227593,-2.269975274180878,0.0,0
0.417,-2.984913391335786,-2.356127627592514,-1.3688578699927885,0.35105759371746087,-0.60049964962674,-2.2465506883547888,-2.660960106451569,-2.305890433543738,0.0,0
0.477,-3.307007338682139,-2.252820752259017,-1.9455096740628026,-0.881894672652843,-1.5264896634604155,-2.403885922143884,-2.6130069464606014,-2.2868057707945395,0.0,0
0.5369999999999999,-3.3293556190227065,-2.020547797363428,-2.434236407177258,-1.6309341188568796,-0.8199891576462018,-1.9903286254620303,-2.4318360936526404,-2.0260083950455896,0.0,0
0.597,-2.628303026278119,-1.6819782741706166,-2.5324880193112986,-1.0997689907940604,0.6579364700312681,-1.448542238674525,-2.2865132128104886,-1.6818886501885901,0.0,0
0.657,-1.1141365123309468,-0.899157181370443,-1.7455500450185555,-0.1689980260700037,0.679842412270499,-1.1881416671054956,-2.180448020787694,-1.2763661075723918,0.0,0
0.7170000000000001,0.08315256330203767,-0.20328185492482165,0.03147469200382672,1.580038235766646,0.879692106362061,-0.08739867242360433,-1.3042672428201256,-0.5448169963313104,0.0,0
0.7769999999999999,-0.6385996526874863,-0.7410298936112815,1.0007816440469117,3.331275568062418,1.6005856735700232,0.9045279455612586,0.02709089460186879,-0.09565621849296024,0.0,0
