pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.8465,2.0465,0.19999999999999996,1.8465,0.75,,,0.09374999999999994
1,2.8465,3.1465,0.30000000000000027,2.9465,0.875,0.10000000000000009,0.10000000000000009,0.18750000000000017
2,3.6465,7.4465,3.8000000000000003,3.8465,1.0,0.19999999999999973,3.2,2.9000000000000004
3,7.7465,9.4465,1.7000000000000002,8.346499999999999,1.0,0.5999999999999988,,1.2125
4,10.0465,10.4465,0.40000000000000036,10.1465,0.625,0.09999999999999964,0.10000000000000142,0.1874999999999999
5,10.6465,12.246500000000001,1.6000000000000014,10.846499999999999,1.0,0.1999999999999993,1.0,1.2875
