Sheet,Attempt_ID,Start_time,End_time,Duration_ms
BasParmakEkstansiyon,1,2063.0,3053.0,990.0
BasParmakEkstansiyon,2,3963.0,4853.0,890.0
BasParmakEkstansiyon,3,5663.0,6453.0,790.0
BasParmakEkstansiyon,4,7163.0,7753.0,590.0
BasParmakEkstansiyon,5,9263.0,9953.0,690.0
BasParmakEkstansiyon,6,10463.0,11253.0,790.0
BasParmakEkstansiyon,7,12163.0,13053.0,890.0
BasParmakEkstansiyon,8,13663.0,14553.0,890.0
BasParmakEkstansiyon,9,15063.0,15953.0,890.0
BasParmakEkstansiyon,10,16463.0,17153.0,690.0
BasParmakEkstansiyon,11,17763.0,18653.0,890.0
BasParmakFleksiyon,1,1547.0,3637.0,2090.0
BasParmakFleksiyon,2,4547.0,5737.0,1190.0
BasParmakFleksiyon,3,7147.0,7937.0,790.0
BasParmakFleksiyon,4,8947.0,10437.0,1490.0
BasParmakFleksiyon,5,11347.0,14637.0,3290.0
El-Ac,1,1062.0,2852.0,1790.0
El-Ac,2,4362.0,4952.0,590.0
El-Ac,3,6662.0,7052.0,390.0
El-Ac,4,9762.0,10252.0,490.0
El-Ac,5,10762.0,12152.0,1390.0
El-Ac,6,13162.0,15552.0,2390.0
El-Ac,7,16062.0,18652.0,2590.0
El-Ac,8,21262.0,21852.0,590.0
El-Kapat,1,162.0,7452.0,7290.0
El-Kapat,2,11262.0,14352.0,3090.0
Pronasyon,1,3947.0,5937.0,1990.0
Pronasyon,2,6347.0,6837.0,490.0
Pronasyon,3,7547.0,9537.0,1990.0
Pronasyon,4,10047.0,11637.0,1590.0
Pronasyon,5,12547.0,14437.0,1890.0
Pronasyon,6,15347.0,17137.0,1790.0
Pronasyon,7,18247.0,19637.0,1390.0
Pronasyon,8,22047.0,23737.0,1690.0
Pronasyon,9,25247.0,26337.0,1090.0
Supinasyon,1,2547.0,12337.0,9790.0
Supinasyon,2,20147.0,20537.0,390.0
