pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,2.6615,3.1615,0.5,2.7615,0.875,0.09999999999999964,,0.2937499999999999
1,3.6615,4.3614999999999995,0.6999999999999993,3.8615,0.625,0.19999999999999973,,0.32499999999999973
2,4.6615,5.1615,0.5,4.9615,0.875,0.2999999999999998,0.10000000000000053,0.2624999999999999
3,5.4615,6.2615,0.7999999999999998,5.5615,0.75,0.09999999999999964,,0.4312499999999999
4,11.561499999999999,12.561499999999999,1.0,11.8615,0.875,0.3000000000000007,,0.6500000000000004
