pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,2.218,2.458,0.2400000000000002,2.338,4.380296645068572,0.1200000000000001,0.0600000000000005,0.74357725667573
1,2.758,2.998,0.2400000000000002,2.818,6.059881847364666,0.06000000000000005,0.0600000000000005,1.0444184937793888
2,4.198,4.678,0.47999999999999954,4.558,9.09358227377399,0.29999999999999893,0.05999999999999961,2.969181227047428
3,5.997999999999999,6.3580000000000005,0.3600000000000012,6.178,9.434978644552896,0.1800000000000006,0.120000000000001,2.4152691125008108
4,7.318,7.7379999999999995,0.41999999999999993,7.438000000000001,13.045625101904262,0.120000000000001,0.2400000000000002,3.2879425972026723
5,9.418,9.778,0.3600000000000012,9.538,6.020572840108716,0.0600000000000005,0.1800000000000015,1.7092148710868502
6,10.678,11.097999999999999,0.41999999999999815,10.918,12.598486793449837,0.23999999999999844,0.11999999999999922,3.4198328886999287
7,12.238,12.718,0.4800000000000004,12.478,11.553686561067192,0.2400000000000002,0.120000000000001,3.2577073401006205
8,13.738,14.458,0.7200000000000006,13.858,11.34760217199473,0.120000000000001,0.41999999999999993,5.991881984455266
9,15.298,15.838000000000001,0.5400000000000009,15.718,11.175960389446152,0.41999999999999993,0.0600000000000005,4.02367940404902
10,16.618,16.918,0.3000000000000007,16.858,5.939885399393698,0.18000000000000327,,1.2996596856343614
11,17.878,18.478,0.6000000000000014,18.058,12.84006006696234,0.120000000000001,0.360000000000003,4.643738484026173
