pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.5625,1.7625000000000002,0.20000000000000018,1.5625,0.5,,,0.07500000000000007
1,1.9625,2.3625,0.3999999999999999,1.9625,0.75,,,0.21250000000000005
2,5.4625,5.6625,0.1999999999999993,5.4625,0.625,,,0.09374999999999967
3,8.0625,8.3625,0.3000000000000007,8.162500000000001,0.875,0.10000000000000142,0.10000000000000142,0.17500000000000004
4,9.662500000000001,9.962499999999999,0.29999999999999716,9.7625,0.875,0.09999999999999787,,0.21249999999999836
