sheet,channel,n_samples,baseline_median,baseline_mad,hi_thr,lo_thr,n_events,total_active_s,activity_ratio_pct
BasParmakEkstansiyon,emg1,2284,1.1345602145404423,0.4177988273322222,3.0,2.0,17,5.329999999999886,23.336252189141856
BasParmakEkstansiyon,emg2,2284,1.0955659619530997,0.46343460273072035,3.0,2.0,15,5.239999999999888,22.942206654991242
BasParmakEkstansiyon,emg3,2284,1.2574825423049723,0.5597887491053696,3.0,2.0,16,4.6999999999999,20.577933450087567
BasParmakEkstansiyon,emg4,2284,1.302736903218713,0.6437815520383173,3.0,2.0,13,5.299999999999887,23.20490367775832
BasParmakEkstansiyon,emg5,2284,1.4176073206746622,0.8134389203357602,3.0,2.0,14,6.739999999999856,29.509632224168126
BasParmakEkstansiyon,emg6,2284,1.8049160530093902,1.1233260635003506,3.0,2.0,13,6.399999999999864,28.021015761821367
BasParmakEkstansiyon,emg7,2284,1.1943908177853406,0.6839252060522509,3.0,2.0,14,6.039999999999871,26.444833625218916
BasParmakEkstansiyon,emg8,2284,1.254683884864728,0.6255689290031503,3.0,2.0,15,5.739999999999878,25.13134851138354
