sheet,rows,cols,duration_s,fs_hz,dt_median_s,dt_std_s,n_channels,n_events_fused,total_active_s_fused
El-Kapat,1884,9,18.828,100.00000000000213,0.009999999999999787,4.6077561260740134e-05,8,2,1.0300000000000011
El-Ac,2183,9,21.813,100.00000000000213,0.009999999999999787,0.00014982046013171035,8,12,3.5200000000000005
BasParmakFleksiyon,1841,9,18.391,100.00000000000213,0.009999999999999787,0.00020975655954518922,8,10,4.890000000000002
BasParmakEkstansiyon,2284,9,22.828,100.00000000000213,0.009999999999999787,4.184869351730687e-05,8,13,8.310000000000004
Supinasyon,2056,9,20.547,100.00000000000213,0.009999999999999787,6.616215587514852e-05,8,9,3.3070000000000026
Pronasyon,2984,9,29.828,100.00000000000213,0.009999999999999787,3.6612599239643476e-05,8,13,9.857999999999995
