start_time,end_time,center_time,RMS_log1p,TKEO_log1p,WL_log1p,cluster,is_active_cluster
47.0,237.0,142.0,0.5707634581751431,0.005370998102861686,0.5129987540959526,1,1
147.0,337.0,242.0,0.6229268981773562,0.004676501160018481,0.32138844442922154,1,1
247.0,437.0,342.0,0.533993879826683,0.00435015399489889,0.361521762923672,1,1
347.0,537.0,442.0,0.45216783080591283,0.0017665231395179953,0.16656280034945808,0,0
447.0,637.0,542.0,0.4896282695588633,0.002555534996770888,0.3295189072194463,0,0
547.0,737.0,642.0,0.5758282515640688,0.003486128276621415,0.331095449127465,1,1
647.0,837.0,742.0,0.5679969011222091,0.00309431996082229,0.3185480000719951,1,1
747.0,937.0,842.0,0.47942592791563077,0.0025918426193672454,0.32026816973166805,0,0
847.0,1037.0,942.0,0.43958407809790334,0.0015885371248945015,0.1289003319723947,0,0
947.0,1137.0,1042.0,0.4305354862301988,0.0009880833899692197,0.19282110101568084,0,0
1047.0,1237.0,1142.0,0.5725584502970645,0.002829239295911307,0.5304320054826179,1,1
1147.0,1337.0,1242.0,0.7340570334895187,0.005738328849336929,0.4653537073259132,1,1
1247.0,1437.0,1342.0,0.7305223719027937,0.005175929304119879,0.39758916776517694,1,1
1347.0,1537.0,1442.0,0.6245278221814576,0.0032561294050904104,0.41366632187985175,1,1
1447.0,1637.0,1542.0,0.5771116977861855,0.002195078476735132,0.22433943645367022,0,0
1547.0,1737.0,1642.0,0.5751926517156343,0.003032743947076956,0.25393433680027805,0,0
1647.0,1837.0,1742.0,0.6550447723235222,0.00508645478676061,0.45657173320987754,1,1
1747.0,1937.0,1842.0,0.7703994015803455,0.006211571759143859,0.43463079372494495,1,1
1847.0,2037.0,1942.0,0.7859032754293739,0.00412014184717318,0.27739085527598184,1,1
1947.0,2137.0,2042.0,0.698615237461635,0.0024615588298798215,0.3077553775562806,1,1
2047.0,2237.0,2142.0,0.5965874171992968,0.002590774441182929,0.32031460341243506,1,1
2147.0,2337.0,2242.0,0.5281430016921791,0.002803192004699536,0.3152536770464883,0,0
2247.0,2437.0,2342.0,0.5364694150603365,0.0031280170416781924,0.23068715004454032,0,0
2347.0,2537.0,2442.0,0.5562386512523901,0.003066597592108759,0.23829653227901457,0,0
2447.0,2637.0,2542.0,0.5289454092553683,0.0014593254913713202,0.31861233389049515,0,0
2547.0,2737.0,2642.0,0.5803032126969925,0.002201196213360658,0.3016329166456005,1,1
2647.0,2837.0,2742.0,0.6900131618723139,0.0039059607384579207,0.3331904052787555,1,1
2747.0,2937.0,2842.0,0.7849813818015164,0.005994335320605848,0.5586944767895303,1,1
2847.0,3037.0,2942.0,0.8825640044382363,0.011710971259194559,0.5658653307972179,1,1
2947.0,3137.0,3042.0,0.8817576475374228,0.014258208433912735,0.5149444230988115,1,1
3047.0,3237.0,3142.0,0.703127166798972,0.008398028314731477,0.6093844331361468,1,1
3147.0,3337.0,3242.0,0.49005939983040286,0.0005635713135563024,0.38786533513519744,0,0
3247.0,3437.0,3342.0,0.48180641290000875,0.0012328928047204216,0.15336483716423335,0,0
3347.0,3537.0,3442.0,0.5770177348902616,0.004064222786670212,0.3816569943683079,1,1
3447.0,3637.0,3542.0,0.7204400455339491,0.0077640738994322785,0.5158455208931868,1,1
3547.0,3737.0,3642.0,0.8540650759904073,0.00764790059424125,0.5674718304688194,1,1
3647.0,3837.0,3742.0,0.968234335901012,0.009765728365590495,0.5687945538318896,1,1
3747.0,3937.0,3842.0,1.1616755634057814,0.03136588902495575,0.843148186424162,1,1
3847.0,4037.0,3942.0,1.3172161735144248,0.039836937727393676,0.7472115351796701,1,1
3947.0,4137.0,4042.0,1.2853616609224698,0.026765904391466214,0.7731296875015999,1,1
4047.0,4237.0,4142.0,1.106917879031034,0.011807182752474216,0.9691730890638105,1,1
4147.0,4337.0,4242.0,1.0578331856685725,0.012532537996267318,0.6328968437450063,1,1
4247.0,4437.0,4342.0,1.0794672656872695,0.016196149123695252,0.45057953863584593,1,1
4347.0,4537.0,4442.0,1.0607250221560491,0.021367631300443668,0.6366903659744508,1,1
4447.0,4637.0,4542.0,1.0817215883060882,0.022958557892789118,0.5321127647358398,1,1
4547.0,4737.0,4642.0,1.0194319548302992,0.015432867302288987,0.5041420348078693,1,1
4647.0,4837.0,4742.0,0.8614122312798115,0.004137817916540037,0.5739786305819787,1,1
4747.0,4937.0,4842.0,0.8115865381049091,0.005961023620531177,0.5164047840633258,1,1
4847.0,5037.0,4942.0,0.8584388584180894,0.012229448960782013,0.376456156229444,1,1
4947.0,5137.0,5042.0,0.7775312593837685,0.008463277605470339,0.5024577894586597,1,1
5047.0,5237.0,5142.0,0.6419654893657594,0.004517668438155714,0.6384281769204201,1,1
5147.0,5337.0,5242.0,0.8494746743453188,0.016820754638259213,1.0370419010060017,1,1
5247.0,5437.0,5342.0,1.1759340767327218,0.04223634985512655,1.0139973412918317,1,1
5347.0,5537.0,5442.0,1.2571027861273052,0.050442566697176026,0.8435443736926941,1,1
5447.0,5637.0,5542.0,1.0766054139550791,0.031140002710123647,1.0080168475600406,1,1
5547.0,5737.0,5642.0,1.0949681980148884,0.03204984309946628,0.9350511954335642,1,1
5647.0,5837.0,5742.0,1.2239574739315853,0.04499703766314561,0.7982911761281445,1,1
5747.0,5937.0,5842.0,1.0757121418484228,0.028529471928427003,0.9792344874380906,1,1
5847.0,6037.0,5942.0,0.8434394195166504,0.008533796755646408,0.8106887307557361,1,1
5947.0,6137.0,6042.0,0.879725453650916,0.010090775210284406,0.36868075192984195,1,1
6047.0,6237.0,6142.0,0.936071369947034,0.010993508152222532,0.3738086419690413,1,1
6147.0,6337.0,6242.0,0.9552165463536816,0.007707214390978852,0.30568195692792893,1,1
6247.0,6437.0,6342.0,0.9707489456091907,0.009925327847338884,0.3440512633036243,1,1
6347.0,6537.0,6442.0,0.9713212656615701,0.008622744193905673,0.3976900256102188,1,1
6447.0,6637.0,6542.0,0.9846975672928997,0.0055604338774831825,0.24169860889823563,1,1
6547.0,6737.0,6642.0,0.9751500653885032,0.01105251996123322,0.4572268701484952,1,1
6647.0,6837.0,6742.0,0.8375490949959521,0.00980389785821264,0.5888546931645028,1,1
6747.0,6937.0,6842.0,0.7128113243032663,0.003372993869894432,0.514145265319096,1,1
6847.0,7037.0,6942.0,0.8563526543078841,0.007045458651971643,0.6245357054337715,1,1
6947.0,7137.0,7042.0,0.9756331715725348,0.010483739303206518,0.4609825692420068,1,1
7047.0,7237.0,7142.0,0.9880509941767617,0.0137702948081818,0.42531004473290684,1,1
7147.0,7337.0,7242.0,0.9274892722865542,0.010720800797138719,0.40918177709663345,1,1
7247.0,7437.0,7342.0,0.7892206185268931,0.006941543363341506,0.4762878916738614,1,1
7347.0,7537.0,7442.0,0.6385278486245242,0.002753509803082134,0.4040877815611462,1,1
7447.0,7637.0,7542.0,0.5589718774157324,0.0009553708960620005,0.21599819385681748,0,0
7547.0,7737.0,7642.0,0.6155311783591203,0.001856143672770419,0.5033894626260936,1,1
7647.0,7837.0,7742.0,0.802782403803195,0.00711409212080345,0.5795787480222846,1,1
7747.0,7937.0,7842.0,0.8841703243389841,0.00909676836042987,0.4104764477054706,1,1
7847.0,8037.0,7942.0,0.7704740621102163,0.006881991866373991,0.6219461514261276,1,1
7947.0,8137.0,8042.0,0.6312517814248353,0.0019123797844031129,0.6540737079450778,1,1
8047.0,8237.0,8142.0,0.8019835993996326,0.010164223399920513,0.5788664431048185,1,1
8147.0,8337.0,8242.0,0.9535900803476955,0.016480301522520287,0.47472361259253554,1,1
8247.0,8437.0,8342.0,0.9863825022277711,0.014756848091224808,0.5656584757350163,1,1
8347.0,8537.0,8442.0,1.0106616317822092,0.009276842600082325,0.4209511568005086,1,1
8447.0,8637.0,8542.0,1.0551471008053486,0.010066696272027198,0.32903856425636047,1,1
8547.0,8737.0,8642.0,1.1254563488985299,0.016767538757546396,0.41875372601707544,1,1
8647.0,8837.0,8742.0,1.2550875128026076,0.013711370400023367,0.7860191446950381,1,1
8747.0,8937.0,8842.0,1.4778707301236227,0.048252601181754694,1.0701794828926026,1,1
8847.0,9037.0,8942.0,1.5741417115463328,0.07130312560294433,0.984050733089436,1,1
8947.0,9137.0,9042.0,1.4278557538816052,0.040377767558834196,1.0989408738364497,1,1
9047.0,9237.0,9142.0,1.2161851381780877,0.013340778466753307,0.8024198573886698,1,1
9147.0,9337.0,9242.0,1.097074808395634,0.025059962060666338,0.8805152144840734,1,1
9247.0,9437.0,9342.0,0.8417991930094557,0.018040081067437635,0.8804511783659776,1,1
9347.0,9537.0,9442.0,0.5746181748418867,0.0022988187957223003,0.201418213436483,0,0
9447.0,9637.0,9542.0,0.5099066028428664,0.0016261427940806902,0.20647983500470216,0,0
9547.0,9737.0,9642.0,0.44393046827398824,0.0008226620733258862,0.2942572237125422,0,0
9647.0,9837.0,9742.0,0.5431010029298128,0.003257056096748652,0.4473787596681262,1,1
9747.0,9937.0,9842.0,0.6621103938984869,0.00406558647500728,0.3224269715551989,1,1
9847.0,10037.0,9942.0,0.6557907924403715,0.0015912561943533792,0.21026632898543937,1,1
9947.0,10137.0,10042.0,0.6216906354989138,0.002394820864763496,0.2785409136489435,1,1
10047.0,10237.0,10142.0,0.6593348907431659,0.003385367040829037,0.41335807994037393,1,1
10147.0,10337.0,10242.0,0.7757060007864677,0.006725949167107592,0.4306931592937929,1,1
10247.0,10437.0,10342.0,0.8204207145468135,0.008145719444268701,0.34695066989218953,1,1
10347.0,10537.0,10442.0,0.7075230163256279,0.005551184593640439,0.4998647739124079,1,1
10447.0,10637.0,10542.0,0.6265510196303519,0.0020138942452061115,0.4541102081558505,1,1
10547.0,10737.0,10642.0,0.7970763628940619,0.008710271898203953,0.774188529872771,1,1
10647.0,10837.0,10742.0,1.083032267703243,0.023013826615405793,0.8524769236856367,1,1
10747.0,10937.0,10842.0,1.2133142049047323,0.02314240634660622,0.5778191441099684,1,1
10847.0,11037.0,10942.0,1.155718408778291,0.01802626544779671,0.5244241471203501,1,1
10947.0,11137.0,11042.0,1.0843557921634113,0.01680938634203131,0.46425093845935217,1,1
11047.0,11237.0,11142.0,1.1224868950384406,0.019917974591930496,0.49542773261105966,1,1
11147.0,11337.0,11242.0,1.2293368713616972,0.027732321908639918,0.6238408694831802,1,1
11247.0,11437.0,11342.0,1.2575666472348368,0.03793809675755752,0.7395432816457439,1,1
11347.0,11537.0,11442.0,1.1620517688160557,0.01887916520351159,0.7884027790119525,1,1
11447.0,11637.0,11542.0,1.178038357415292,0.032349265225340665,0.8428230806216142,1,1
11547.0,11737.0,11642.0,1.2672353993838317,0.05526359986984218,0.7560996229605652,1,1
11647.0,11837.0,11742.0,1.145037293407286,0.042850851175580365,0.9167110628541161,1,1
11747.0,11937.0,11842.0,0.9081049382525486,0.004777263793494092,0.6536468117429568,1,1
11847.0,12037.0,11942.0,0.9391682365761829,0.012459944288403399,0.46675532510011936,1,1
11947.0,12137.0,12042.0,0.9371539880962428,0.016020865950608067,0.5204153033984833,1,1
12047.0,12237.0,12142.0,0.7705129943812593,0.00931892461196066,0.6921036377835674,1,1
12147.0,12337.0,12242.0,0.510344982719593,0.002154138172820113,0.5294664867315108,1,1
12247.0,12437.0,12342.0,0.3438985233580413,0.00032750432586045976,0.1426419713398748,0,0
12347.0,12537.0,12442.0,0.29575157598384477,0.00016818783049501513,0.11970228773316777,0,0
12447.0,12637.0,12542.0,0.24783163849463874,2.975757063028644e-05,0.09503984343360693,0,0
12547.0,12737.0,12642.0,0.20694851848892737,1.1984266531012915e-05,0.09203903101431536,0,0
12647.0,12837.0,12742.0,0.1674035638474188,1.0624756143683024e-05,0.08163788252838501,0,0
12747.0,12937.0,12842.0,0.13096703976409863,7.590420001545206e-06,0.07292345966751757,0,0
12847.0,13037.0,12942.0,0.097897230593457,6.00813812537781e-06,0.06343542957897114,0,0
12947.0,13137.0,13042.0,0.06865781438267764,4.631914069780568e-06,0.054192749880435646,0,0
13047.0,13237.0,13142.0,0.044040369285192026,2.67995392345674e-06,0.040802056778348784,0,0
13147.0,13337.0,13242.0,0.026123638865009503,7.999736452759654e-07,0.024486584082183595,0,0
13247.0,13437.0,13342.0,0.016636766129163448,2.0186402216981008e-07,0.010530853898147525,0,0
13347.0,13537.0,13442.0,0.01406795544189972,8.635037579561414e-08,0.003114125215666079,0,0
13447.0,13637.0,13542.0,0.014655954033414721,1.1789602611099397e-07,0.0026118111877346884,0,0
13547.0,13737.0,13642.0,0.016539105157286623,2.3283197434075253e-07,0.004328185169540268,0,0
13647.0,13837.0,13742.0,0.0187499353062097,3.077060507145963e-07,0.0036547114354459624,0,0
13747.0,13937.0,13842.0,0.019870590538137996,2.4832972492878047e-07,0.0013452245406394884,0,0
13847.0,14037.0,13942.0,0.019854698248632324,1.6551114771683195e-07,0.0008179439017597242,0,0
13947.0,14137.0,14042.0,0.01921180116266124,1.4398008763414185e-07,0.0017051171861373886,0,0
14047.0,14237.0,14142.0,0.017979130660710847,1.4753222364087568e-07,0.003165986354846356,0,0
14147.0,14337.0,14242.0,0.016058889723020407,1.0773778915108599e-07,0.00426401169946269,0,0
14247.0,14437.0,14342.0,0.013709506262082595,8.730777859057597e-08,0.004828148112629668,0,0
14347.0,14537.0,14442.0,0.011131165093316261,7.875934835940468e-08,0.005115123387136866,0,0
14447.0,14637.0,14542.0,0.008485855854811621,6.195819569008278e-08,0.00508374142011212,0,0
14547.0,14737.0,14642.0,0.0059249638002151885,5.880504703829766e-08,0.00493459711462826,0,0
14647.0,14837.0,14742.0,0.0034863023232635875,5.911200836128366e-08,0.00488142807603973,0,0
14747.0,14937.0,14842.0,0.0015050255954091442,4.689063418107936e-08,0.004273886937240023,0,0
14847.0,15037.0,14942.0,0.001617327828335597,3.6205051770968236e-08,0.003196930238879516,0,0
14947.0,15137.0,15042.0,0.0026734954179467017,2.6691599622565795e-08,0.001905346945026153,0,0
15047.0,15237.0,15142.0,0.003345062176644846,6.3878650576968e-09,0.0009625200827123241,0,0
15147.0,15337.0,15242.0,0.0037856098646106384,6.577481724019874e-09,0.0007246833475517224,0,0
15247.0,15437.0,15342.0,0.004048593017848466,1.2322371950171282e-08,0.0003903626746863283,0,0
15347.0,15537.0,15442.0,0.004047886597948186,8.520678499287107e-09,0.00029346392408948174,0,0
15447.0,15637.0,15542.0,0.0038701785264070986,2.958184081035128e-09,0.0004195046648245531,0,0
15547.0,15737.0,15642.0,0.00359937273167084,6.4476860048068045e-09,0.0006486073957258533,0,0
15647.0,15837.0,15742.0,0.003184718518066153,6.603303023560203e-09,0.0009590576176277242,0,0
15747.0,15937.0,15842.0,0.0026344213015188343,5.2731909880690305e-09,0.0011581412637846871,0,0
15847.0,16037.0,15942.0,0.0019912379040223998,7.622247797387289e-09,0.0013916562451976255,0,0
15947.0,16137.0,16042.0,0.0012392535379297587,1.0103626095780918e-08,0.0017673605973849635,0,0
16047.0,16237.0,16142.0,0.0006189270665444558,1.0054187497429204e-08,0.002001779755445456,0,0
16147.0,16337.0,16242.0,0.0011620739426892342,1.0180072336960778e-08,0.00213117927175952,0,0
16247.0,16437.0,16342.0,0.002458764235853441,1.9801151304585817e-08,0.0029130056755053346,0,0
16347.0,16537.0,16442.0,0.004134112324232365,3.462025922838136e-08,0.0035457759265092427,0,0
16447.0,16637.0,16542.0,0.0059042760555540605,3.094424671660825e-08,0.003410564070187218,0,0
16547.0,16737.0,16642.0,0.007641320405649314,3.5744355582587874e-08,0.003296729093937211,0,0
16647.0,16837.0,16742.0,0.00924367600718317,5.0580678738201646e-08,0.002870268678151613,0,0
16747.0,16937.0,16842.0,0.0105300018785494,5.040976007851253e-08,0.0021281272763039464,0,0
16847.0,17037.0,16942.0,0.011414294874596009,5.8297674795579917e-08,0.0012840494498082393,0,0
16947.0,17137.0,17042.0,0.011768633696169328,8.996920974226013e-08,0.0007645053029730662,0,0
17047.0,17237.0,17142.0,0.01134642073028455,1.1202615330656073e-07,0.0017355339032269247,0,0
17147.0,17337.0,17242.0,0.00998329797422105,1.379685196332684e-07,0.003725735269649597,0,0
17247.0,17437.0,17342.0,0.00759072946726284,1.9248698754518458e-07,0.006134994919701378,0,0
17347.0,17537.0,17442.0,0.004369127969549086,1.8130704944302617e-07,0.0075438679949209825,0,0
17447.0,17637.0,17542.0,0.0019310440122912041,1.3933401067442553e-07,0.0060249991833965216,0,0
17547.0,17737.0,17642.0,0.0017659735373393916,2.324356647598038e-07,0.0068000019661356,0,0
17647.0,17837.0,17742.0,0.006528399304468143,6.853333136979479e-07,0.01664241385327627,0,0
17747.0,17937.0,17842.0,0.018351165545960293,1.606272892948356e-06,0.029167512797239437,0,0
17847.0,18037.0,17942.0,0.035418375722429105,2.503521078827313e-06,0.0377841407526728,0,0
17947.0,18137.0,18042.0,0.056492158902643766,3.2833404551382873e-06,0.045201318766166954,0,0
18047.0,18237.0,18142.0,0.08103090271770862,4.243033301967512e-06,0.0526637084777335,0,0
18147.0,18337.0,18242.0,0.10877008293682476,5.272683517795082e-06,0.060227664378756804,0,0
18247.0,18437.0,18342.0,0.13949325396360623,6.7783651575175125e-06,0.0678405589189581,0,0
18347.0,18537.0,18442.0,0.17278232712526193,8.876563267021353e-06,0.07485944422854439,0,0
18447.0,18637.0,18542.0,0.20802107106820217,1.112615569747525e-05,0.08099672039537335,0,0
18547.0,18737.0,18642.0,0.24456139262911966,1.4251062122108296e-05,0.08602775226136762,0,0
18647.0,18837.0,18742.0,0.28156731157877235,1.8809347258396455e-05,0.08909438788406458,0,0
18747.0,18937.0,18842.0,0.31797122738975164,2.3973889999954277e-05,0.08954533322580999,0,0
18847.0,19037.0,18942.0,0.35264834511158577,3.0767837048767924e-05,0.08688033270302226,0,0
18947.0,19137.0,19042.0,0.38430099436685433,4.058798488225953e-05,0.07992667579417362,0,0
19047.0,19237.0,19142.0,0.41134469167525844,5.242970614958171e-05,0.0675153151030385,0,0
19147.0,19337.0,19242.0,0.43202349530174944,6.755106853883501e-05,0.04864721044725502,0,0
19247.0,19437.0,19342.0,0.4442813209575207,8.854257486359398e-05,0.023400083500295994,0,0
19347.0,19537.0,19442.0,0.44551921275810313,0.00011481171632547762,0.022490623587998512,0,0
19447.0,19637.0,19542.0,0.4325436434142799,0.00014743139365028935,0.061490723380581876,0,0
19547.0,19737.0,19642.0,0.40133765256189086,0.00018853065427977265,0.11510343788704827,0,0
19647.0,19837.0,19742.0,0.34685115442840175,0.0002310187229126411,0.17397556682554582,0,0
19747.0,19937.0,19842.0,0.26502954206401924,0.0002189016522556965,0.22263953839462294,0,0
19847.0,20037.0,19942.0,0.174325170772946,7.961531925214715e-05,0.19601651680546994,0,0
19947.0,20137.0,20042.0,0.21811275001029523,0.00015439133251757102,0.2919272133148329,0,0
20047.0,20237.0,20142.0,0.40817313312139586,0.0005158828746604458,0.4800284791271265,0,0
20147.0,20337.0,20242.0,0.6276694330429141,0.001068996500338125,0.578796483371352,1,1
20247.0,20437.0,20342.0,0.850831742487046,0.001554116766503266,0.6991045387107852,1,1
20347.0,20537.0,20442.0,1.0310664037572526,0.010095945125508524,0.5981275210020975,1,1
