channel,mean_act,std_act,median_act,mad_act,is_dead,rms_threshold
emg1,6.51790998992822,9.052561817547584,1.7105828661264475,1.4057718674279092,0,5.928351972038765
emg2,13.716208152720679,18.281688349316077,2.6670281852036695,2.494553367739345,0,15.05427487689991
emg3,12.594405007719747,18.0495847255398,3.2667015974827525,2.911150707347672,0,14.05473509315638
emg4,4.076096543792595,5.134804340244933,1.8873972068119071,1.5352869109636873,0,4.7519709068585625
emg5,3.1860001785218928,4.090809177721404,1.4541885823290386,1.1164276655333338,0,3.154500987433063
emg6,4.280497239236778,7.281829946034876,1.4096312786703993,1.0376696695467127,0,3.2591114373142815
emg7,4.333268435607599,5.264094774192596,2.336899599963527,1.6952228013440003,0,6.48229601961372
emg8,14.013779952613124,21.828203660965826,2.892764705534054,2.723660077559504,0,11.60824945813335
