pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.2465000000000002,1.5465,0.2999999999999998,1.4465,0.75,0.19999999999999973,,0.17499999999999988
1,1.8465,2.3465,0.4999999999999998,1.9465,0.75,0.09999999999999987,,0.23749999999999996
2,4.7465,5.6465,0.8999999999999995,5.5465,0.75,0.7999999999999998,,0.48749999999999966
3,5.9465,6.3465,0.39999999999999947,5.9465,0.75,,,0.2562499999999997
4,8.0465,10.0465,2.0,8.246500000000001,1.0,0.20000000000000107,,1.4687500000000002
