pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.8465,2.0465,0.19999999999999996,1.8465,0.75,,,0.10624999999999994
1,2.9465,3.1465,0.20000000000000018,2.9465,0.875,,0.10000000000000009,0.1187500000000001
2,3.6465,7.4465,3.8000000000000003,3.8465,1.0,0.19999999999999973,,2.7812500000000004
3,7.8465,9.4465,1.6000000000000005,8.4465,1.0,0.6000000000000005,,1.175
4,9.9465,10.4465,0.5,10.0465,0.625,0.09999999999999964,0.10000000000000142,0.24999999999999967
5,10.6465,12.1465,1.5,10.846499999999999,1.0,0.1999999999999993,,1.2437500000000004
