pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.2465000000000002,1.5465,0.2999999999999998,1.3465,0.625,0.09999999999999987,,0.14999999999999988
1,1.8465,2.3465,0.4999999999999998,1.9465,0.625,0.09999999999999987,0.2999999999999998,0.19999999999999998
2,4.8465,5.6465,0.7999999999999998,4.8465,0.625,,,0.3937499999999999
3,5.9465,6.3465,0.39999999999999947,6.1465,0.75,0.1999999999999993,0.09999999999999964,0.20624999999999982
4,8.1465,9.246500000000001,1.1000000000000014,8.246500000000001,1.0,0.10000000000000142,,0.7812500000000006
5,9.4465,10.0465,0.5999999999999996,9.746500000000001,1.0,0.3000000000000007,,0.4874999999999996
