start_time,end_time,center_time,RMS_log1p,TKEO_log1p,WL_log1p,cluster_active_raw,cluster_active_smoothed
47.0,387.0,217.0,0.47633618923648147,0.0009585204558632798,0.32697589946281796,0,0
227.0,567.0,397.0,0.3593770380697897,0.0005852642045692122,0.38033697835342,0,0
407.0,747.0,577.0,0.22294089410192114,0.00011233813556812755,0.1764773616610044,0,0
587.0,927.0,757.0,0.20072108662470672,0.00017592498782007521,0.08183931522137396,0,0
767.0,1107.0,937.0,0.17609721866167466,0.00011010175889259125,0.1124154158437637,0,0
947.0,1287.0,1117.0,0.18338851653177898,8.785120297628706e-05,0.09475247289746785,0,0
1127.0,1467.0,1297.0,0.19810982090784424,8.450142789888174e-05,0.07340955229969978,0,0
1307.0,1647.0,1477.0,0.21889646736483545,0.00010904641179441982,0.09645059995987931,0,0
1487.0,1827.0,1657.0,0.27060765756915384,0.00023679032674626705,0.11961193333831682,0,0
1667.0,2007.0,1837.0,0.30671383087657716,0.00040814883747519314,0.15273739824715504,0,0
1847.0,2187.0,2017.0,0.306251267985195,0.0003818737033478146,0.1670469708586889,0,0
2027.0,2367.0,2197.0,0.2693130866136983,0.00018999527134182988,0.1526636954520832,0,0
2207.0,2547.0,2377.0,0.21554018425111143,0.00013528212008438284,0.10116399091620991,0,0
2387.0,2727.0,2557.0,0.17650235267942865,9.094471873750956e-05,0.09434172142069117,0,0
2567.0,2907.0,2737.0,0.14686333552614494,8.105137664683231e-05,0.12549840936603104,0,0
2747.0,3087.0,2917.0,0.144327359577817,7.860661110655266e-05,0.09033422396040075,0,0
2927.0,3267.0,3097.0,0.15622270357386053,0.00013020904210166598,0.10438608413404583,0,0
3107.0,3447.0,3277.0,0.173375111163984,9.26457029079027e-05,0.11789571074465663,0,0
3287.0,3627.0,3457.0,0.19894615482916836,0.00011860632378484499,0.11130666708477285,0,0
3467.0,3807.0,3637.0,0.233522852163462,0.00019667047793242687,0.1891647652316708,0,0
3647.0,3987.0,3817.0,0.3610978883297715,0.0006118658736630271,0.3788310419074107,0,0
3827.0,4167.0,3997.0,0.6353761386924213,0.004212048411286451,0.7316641030853869,1,1
4007.0,4347.0,4177.0,0.8353604139962683,0.006259563564738206,0.6115202145896484,1,1
4187.0,4527.0,4357.0,0.8359870417171601,0.0046450038583966255,0.419088280375076,1,1
4367.0,4707.0,4537.0,0.7902808250411103,0.004156618860090947,0.565482936350035,1,1
4547.0,4887.0,4717.0,0.9238034553664618,0.0039461806924311095,0.7024554003675028,1,1
4727.0,5067.0,4897.0,1.2303554409943565,0.017038362786332244,1.0022033817785927,1,1
4907.0,5247.0,5077.0,1.4605631634306224,0.03228093354834619,1.0333946199782384,1,1
5087.0,5427.0,5257.0,1.5116649468541303,0.028739608645852618,0.9987922769322276,1,1
5267.0,5607.0,5437.0,1.5813197080105725,0.038190609041215906,1.0926232154187403,1,1
5447.0,5787.0,5617.0,1.6611573021966843,0.03503493116735896,1.104567919070593,1,1
5627.0,5967.0,5797.0,1.4868701715019932,0.05818857930704895,1.6146074071255467,1,1
5807.0,6147.0,5977.0,0.9617786663483613,0.042300929716268434,1.4844152522607459,1,1
5987.0,6327.0,6157.0,0.3835816747097936,0.0008484401601318001,0.5497068240965125,0,1
6167.0,6507.0,6337.0,0.6347850189789739,0.004421420328575474,0.7568890570304867,1,1
6347.0,6687.0,6517.0,0.8493760709554508,0.005681272876323355,0.6150586323990719,1,1
6527.0,6867.0,6697.0,0.8465828616665433,0.005753433030378477,0.6187680435934844,1,1
6707.0,7047.0,6877.0,0.6660458385278697,0.004655485463491105,0.5707090709670786,1,1
6887.0,7227.0,7057.0,0.5101398289309104,0.0014572655339747836,0.2872311834334325,0,1
7067.0,7407.0,7237.0,0.48351991862696386,0.000518647644246712,0.18713441347141674,0,1
7247.0,7587.0,7417.0,0.4844592699547987,0.0017157666185570485,0.6814242818333748,0,1
7427.0,7767.0,7597.0,0.7942963469541459,0.006935149980349859,0.8684447803059003,1,1
7607.0,7947.0,7777.0,0.9573365797448117,0.005583854126015776,0.41192176393261737,1,1
7787.0,8127.0,7957.0,0.9789059482513456,0.002023753949023531,0.5130711360550724,1,1
7967.0,8307.0,8137.0,1.123192794538115,0.013381192926835919,0.7411926146792446,1,1
8147.0,8487.0,8317.0,1.1942796125565918,0.021250969040375153,0.8352735114904971,1,1
8327.0,8667.0,8497.0,1.1880811424411608,0.017067730826305902,0.8954913576908294,1,1
8507.0,8847.0,8677.0,1.1802464185680677,0.013483426249206266,0.8098967503704434,1,1
8687.0,9027.0,8857.0,1.0551511360183463,0.012857834542179786,1.1123157948001938,1,1
8867.0,9207.0,9037.0,1.090562773209458,0.01379398307899733,1.0280218432884793,1,1
9047.0,9387.0,9217.0,1.171409885838131,0.015662043448295502,0.7110028712587222,1,1
9227.0,9567.0,9397.0,0.9860133538858867,0.010513321615317671,0.8553537854180936,1,1
9407.0,9747.0,9577.0,0.6948674084521919,0.0024282430567311142,0.5038847903011638,1,1
9587.0,9927.0,9757.0,0.5686251635101459,0.0013312768608031616,0.39077552323624143,0,1
9767.0,10107.0,9937.0,0.4912329545652328,0.0011223074802488022,0.48277252960227507,0,1
9947.0,10287.0,10117.0,0.65885078977653,0.002635749279287627,0.5530913665296262,1,1
10127.0,10467.0,10297.0,0.7758014492848506,0.0030488508911252856,0.3675276872534195,1,1
10307.0,10647.0,10477.0,0.9290545421095783,0.011220615908071618,0.8412094887273532,1,1
10487.0,10827.0,10657.0,1.1911736364430998,0.02254854699769425,1.1216359136432097,1,1
